Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
126498136,"2026-01-26 19:55:58",buy,0.5,GBPJPY,211.03300000,209.623,214.77300000,"2026-02-03 14:23:33",213.17200000,11.51,-2.5,686.35000000,213.9,671255
126498112,"2026-01-28 18:53:47",buy,0.5,CADJPY,113.09600000,111.926,115.43600000,"2026-02-03 14:23:30",114.05700000,2.02,-2.5,308.36000000,96.1,502183
125991880,"2026-01-29 14:17:20",buy,0.6,GBPAUD,1.95593000,1.95043,1.96973000,"2026-01-29 16:17:58",1.96974000,0,-3,578.93000000,138.1,7238
125959717,"2026-01-29 14:17:20",buy,0.4,GBPAUD,1.95593000,1.95043,1.96973000,"2026-01-29 15:30:00",1.95363000,0,-2,-65.12000000,-23,4360
125866881,"2026-01-26 04:59:25",buy,0.5,GBPNZD,2.29216000,2.27806,2.33516000,"2026-01-28 23:05:00",2.27778000,1.02,-2.5,-435.52000000,-143.8,237935
125220373,"2026-01-22 19:31:56",buy,0.1,EURJPY,185.98600000,0,0,"2026-01-22 19:32:11",185.97500000,0,-0.5,-0.69000000,-1.1,15
